Physician Name,Hospital Name,Detailed Region,Procedure,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate
Yousuf M,Unitd Hlth Svcs-Wilson,Central NY,Valve or Valve/CABG,388,9,2.32,2.03
Burack J H,Univ.Hosp-Brooklyn,Kings,CABG,15,0,0,1.69
Ko W,Univ.Hosp-Brooklyn,Kings,CABG,24,1,4.17,1.69
Lee D C,Univ.Hosp-Brooklyn,Kings,CABG,34,1,2.94,2.75
Tak V M,Univ.Hosp-Brooklyn,Kings,CABG,104,2,1.92,1.54
Burack J H,Univ.Hosp-Brooklyn,Kings,Valve or Valve/CABG,21,0,0,1.83
Ko W,Univ.Hosp-Brooklyn,Kings,Valve or Valve/CABG,45,1,2.22,3.12
Lee D C,Univ.Hosp-Brooklyn,Kings,Valve or Valve/CABG,52,1,1.92,2.69
Tak V M,Univ.Hosp-Brooklyn,Kings,Valve or Valve/CABG,180,6,3.33,3.31
Bilfinger T,Univ.Hosp-Stony Brook,NY Metro - Long Island,CABG,98,3,3.06,1.99
Gupta S,Univ.Hosp-Stony Brook,NY Metro - Long Island,CABG,116,2,1.72,1.5
McLarty A,Univ.Hosp-Stony Brook,NY Metro - Long Island,CABG,102,3,2.94,1.32
Rosengart T,Univ.Hosp-Stony Brook,NY Metro - Long Island,CABG,168,1,0.6,1.78
Seifert F,Univ.Hosp-Stony Brook,NY Metro - Long Island,CABG,234,2,0.85,1.48
Bilfinger T,Univ.Hosp-Stony Brook,NY Metro - Long Island,Valve or Valve/CABG,145,7,4.83,3.02
Gupta S,Univ.Hosp-Stony Brook,NY Metro - Long Island,Valve or Valve/CABG,223,4,1.79,3.08
McLarty A,Univ.Hosp-Stony Brook,NY Metro - Long Island,Valve or Valve/CABG,144,12,8.33,2.87
Rosengart T,Univ.Hosp-Stony Brook,NY Metro - Long Island,Valve or Valve/CABG,363,13,3.58,3.77
Seifert F,Univ.Hosp-Stony Brook,NY Metro - Long Island,Valve or Valve/CABG,339,9,2.65,2.6
Fink G W,Univ.Hosp-SUNY Upstate,Central NY,CABG,165,1,0.61,1.58
Lutz C J,Univ.Hosp-SUNY Upstate,Central NY,CABG,281,5,1.78,1.82
Fink G W,Univ.Hosp-SUNY Upstate,Central NY,Valve or Valve/CABG,245,1,0.41,2.31
Lutz C J,Univ.Hosp-SUNY Upstate,Central NY,Valve or Valve/CABG,451,12,2.66,2.38
Bhutani A K,Vassar Bros. Med Ctr,NY Metro - New Rochelle,CABG,94,1,1.06,1.18
Ciaburri D,Vassar Bros. Med Ctr,NY Metro - New Rochelle,CABG,1,0,0,0.6
Sarabu M,Vassar Bros. Med Ctr,NY Metro - New Rochelle,CABG,152,1,0.66,1.59
Shahani R,Vassar Bros. Med Ctr,NY Metro - New Rochelle,CABG,165,2,1.21,1.26
Zakow P,Vassar Bros. Med Ctr,NY Metro - New Rochelle,CABG,224,3,1.34,1.21
Bhutani A K,Vassar Bros. Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,103,2,1.94,1.23
Ciaburri D,Vassar Bros. Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,1,0,0,0.6
Sarabu M,Vassar Bros. Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,424,5,1.18,3.1
Shahani R,Vassar Bros. Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,255,4,1.57,2.04
Zakow P,Vassar Bros. Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,352,7,1.99,2.15
Lafaro R,Westchester Med Ctr,NY Metro - New Rochelle,CABG,228,3,1.32,1.58
Lansman S,Westchester Med Ctr,NY Metro - New Rochelle,CABG,207,1,0.48,1.99
Malekan R,Westchester Med Ctr,NY Metro - New Rochelle,CABG,115,2,1.74,2.51
Saunders P,Westchester Med Ctr,NY Metro - New Rochelle,CABG,2,0,0,1.18
Spielvogel D,Westchester Med Ctr,NY Metro - New Rochelle,CABG,335,2,0.6,1.83
Lafaro R,Westchester Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,301,6,1.99,2.17
Lansman S,Westchester Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,301,6,1.99,2.94
Malekan R,Westchester Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,167,3,1.8,3.75
Saunders P,Westchester Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,3,0,0,1.15
Spielvogel D,Westchester Med Ctr,NY Metro - New Rochelle,Valve or Valve/CABG,576,8,1.39,3.23
Goncalves J A,Winthrop Univ. Hosp,NY Metro - Long Island,CABG,324,6,1.85,1.66
Kokotos W J,Winthrop Univ. Hosp,NY Metro - Long Island,CABG,219,3,1.37,1.72
Schubach S,Winthrop Univ. Hosp,NY Metro - Long Island,CABG,184,1,0.54,1.09
Goncalves J A,Winthrop Univ. Hosp,NY Metro - Long Island,Valve or Valve/CABG,553,17,3.07,3.08
Kokotos W J,Winthrop Univ. Hosp,NY Metro - Long Island,Valve or Valve/CABG,389,10,2.57,3.11
Schubach S,Winthrop Univ. Hosp,NY Metro - Long Island,Valve or Valve/CABG,378,5,1.32,2.31
